"translation","chapter","meta_data"
"kjv","1Kgs.11","kjv.1Kgs.11"
"kjv","1Kgs.12","kjv.1Kgs.12"
"kjv","1Kgs.13","kjv.1Kgs.13"
"kjv","1Kgs.14","kjv.1Kgs.14"
"kjv","1Kgs.15","kjv.1Kgs.15"
"kjv","1Kgs.16","kjv.1Kgs.16"
"kjv","1Kgs.17","kjv.1Kgs.17"
"kjv","1Kgs.18","kjv.1Kgs.18"
"kjv","1Kgs.19","kjv.1Kgs.19"
"kjv","1Kgs.20","kjv.1Kgs.20"
"kjv","1Kgs.21","kjv.1Kgs.21"
"kjv","1Kgs.22","kjv.1Kgs.22"
"kjv","2Kgs.1","kjv.2Kgs.1"
"kjv","2Kgs.2","kjv.2Kgs.2"
"kjv","2Kgs.3","kjv.2Kgs.3"
"kjv","2Kgs.4","kjv.2Kgs.4"
"kjv","2Kgs.5","kjv.2Kgs.5"
"kjv","2Kgs.6","kjv.2Kgs.6"
"kjv","2Kgs.7","kjv.2Kgs.7"
"kjv","2Kgs.8","kjv.2Kgs.8"
"kjv","2Kgs.9","kjv.2Kgs.9"
"kjv","2Kgs.10","kjv.2Kgs.10"
"kjv","2Kgs.11","kjv.2Kgs.11"
"kjv","2Kgs.12","kjv.2Kgs.12"
"kjv","2Kgs.13","kjv.2Kgs.13"
"kjv","2Kgs.14","kjv.2Kgs.14"
"kjv","2Kgs.15","kjv.2Kgs.15"
"kjv","2Kgs.16","kjv.2Kgs.16"
"kjv","2Kgs.17","kjv.2Kgs.17"
"kjv","2Kgs.18","kjv.2Kgs.18"
"kjv","2Kgs.19","kjv.2Kgs.19"
"kjv","2Kgs.20","kjv.2Kgs.20"
"kjv","2Kgs.21","kjv.2Kgs.21"
"kjv","2Kgs.22","kjv.2Kgs.22"
"kjv","2Kgs.23","kjv.2Kgs.23"
"kjv","2Kgs.24","kjv.2Kgs.24"
"kjv","2Kgs.25","kjv.2Kgs.25"
"kjv","1Chr.1","kjv.1Chr.1"
"kjv","1Chr.2","kjv.1Chr.2"
"kjv","1Chr.3","kjv.1Chr.3"
"kjv","1Chr.4","kjv.1Chr.4"
"kjv","1Chr.5","kjv.1Chr.5"
"kjv","1Chr.6","kjv.1Chr.6"
"kjv","1Chr.7","kjv.1Chr.7"
"kjv","1Chr.8","kjv.1Chr.8"
"kjv","1Chr.9","kjv.1Chr.9"
"kjv","1Chr.10","kjv.1Chr.10"
"kjv","1Chr.11","kjv.1Chr.11"
"kjv","1Chr.12","kjv.1Chr.12"
"kjv","1Chr.13","kjv.1Chr.13"
"kjv","1Chr.14","kjv.1Chr.14"
"kjv","1Chr.15","kjv.1Chr.15"
"kjv","1Chr.16","kjv.1Chr.16"
"kjv","1Chr.17","kjv.1Chr.17"
"kjv","1Chr.18","kjv.1Chr.18"
"kjv","1Chr.19","kjv.1Chr.19"
"kjv","1Chr.20","kjv.1Chr.20"
"kjv","1Chr.21","kjv.1Chr.21"
"kjv","1Chr.22","kjv.1Chr.22"
"kjv","1Chr.23","kjv.1Chr.23"
"kjv","1Chr.24","kjv.1Chr.24"
"kjv","1Chr.25","kjv.1Chr.25"
"kjv","1Chr.26","kjv.1Chr.26"
"kjv","1Chr.27","kjv.1Chr.27"
"kjv","1Chr.28","kjv.1Chr.28"
"kjv","1Chr.29","kjv.1Chr.29"
"kjv","2Chr.1","kjv.2Chr.1"
"kjv","2Chr.2","kjv.2Chr.2"
"kjv","2Chr.3","kjv.2Chr.3"
"kjv","2Chr.4","kjv.2Chr.4"
"kjv","2Chr.5","kjv.2Chr.5"
"kjv","2Chr.6","kjv.2Chr.6"
"kjv","2Chr.7","kjv.2Chr.7"
"kjv","2Chr.8","kjv.2Chr.8"
"kjv","2Chr.9","kjv.2Chr.9"
"kjv","2Chr.10","kjv.2Chr.10"
"kjv","2Chr.11","kjv.2Chr.11"
"kjv","2Chr.12","kjv.2Chr.12"
"kjv","2Chr.13","kjv.2Chr.13"
"kjv","2Chr.14","kjv.2Chr.14"
"kjv","2Chr.15","kjv.2Chr.15"
"kjv","2Chr.16","kjv.2Chr.16"
"kjv","2Chr.17","kjv.2Chr.17"
"kjv","2Chr.18","kjv.2Chr.18"
"kjv","2Chr.19","kjv.2Chr.19"
"kjv","2Chr.20","kjv.2Chr.20"
"kjv","2Chr.21","kjv.2Chr.21"
"kjv","2Chr.22","kjv.2Chr.22"
"kjv","2Chr.23","kjv.2Chr.23"
"kjv","2Chr.24","kjv.2Chr.24"
"kjv","2Chr.25","kjv.2Chr.25"
"kjv","2Chr.26","kjv.2Chr.26"
"kjv","2Chr.27","kjv.2Chr.27"
"kjv","2Chr.28","kjv.2Chr.28"
"kjv","2Chr.29","kjv.2Chr.29"
"kjv","2Chr.30","kjv.2Chr.30"
"kjv","2Chr.31","kjv.2Chr.31"
"kjv","2Chr.32","kjv.2Chr.32"
"kjv","2Chr.33","kjv.2Chr.33"
"kjv","2Chr.34","kjv.2Chr.34"
"kjv","2Chr.35","kjv.2Chr.35"
"kjv","2Chr.36","kjv.2Chr.36"
"kjv","Ezra.1","kjv.Ezra.1"
"kjv","Ezra.2","kjv.Ezra.2"
"kjv","Ezra.3","kjv.Ezra.3"
"kjv","Ezra.4","kjv.Ezra.4"
"kjv","Ezra.5","kjv.Ezra.5"
"kjv","Ezra.6","kjv.Ezra.6"
"kjv","Ezra.7","kjv.Ezra.7"
"kjv","Ezra.8","kjv.Ezra.8"
"kjv","Ezra.9","kjv.Ezra.9"
"kjv","Ezra.10","kjv.Ezra.10"
"kjv","Neh.1","kjv.Neh.1"
"kjv","Neh.2","kjv.Neh.2"
"kjv","Neh.3","kjv.Neh.3"
"kjv","Neh.4","kjv.Neh.4"
"kjv","Neh.5","kjv.Neh.5"
"kjv","Neh.6","kjv.Neh.6"
"kjv","Neh.7","kjv.Neh.7"
"kjv","Neh.8","kjv.Neh.8"
